,Comment,User,Date,Post
0,"Здравствуйте. Ранее вы говорили, что нынешние участники могут поехать в школу в следующем году без отбора. Скажите, если сейчас принять участие в КЭШ, это возможность теряется?",179519952,1594703895,6866
1,"Аня, конечно нет! Каждый, кто получил приглашение на участие в сезоне 2020, сможет попасть в сезон 2021 вне конкурса.",-49558,1594704317,6866
2,"[club49558|КЛШ], отлично!",179519952,1594705760,6866
3,"[club49558|КЛШ], А к резерву это не относится?",196480502,1594706308,6866
4,"К резерву не относится, поступать нужно будет на общих основаниях",-49558,1594707334,6866
5,Спасибо,196480502,1594707390,6866
6,Большой лайк автору картинки,354175470,1594707551,6866
7,"[id354175470|Никита], спасибо:3",245072606,1594712052,6866
8,"Здравствуйте! А тем кто только мечтал, но не поступал в КЛШ можно присоедениться в качестве слушателя? Онлайн формат располагает к такому широкому жесту :)",28433850,1594730623,6866
9,"[id28433850|Анна], часть содержания совершенно точно будет доступна абсолютно всем. Мы расскажем об этом в следующем посте (через несколько дней).",-49558,1594757436,6866
10,"Здравствуйте.Подскажите, пожалуйста, сколько будет стоить   летняя КЭШ",461356172,1594789871,6866
11,Участие в КЭШ полностью бесплатно!,-49558,1594801634,6866
12,"[club49558|КЛШ], Спасибо!!!!",461356172,1594802046,6866
13,"Кажется здесь используется слишком расходный материал, стоит задуматься об альтернативе.",135302612,1593755825,6855
14,"А что будет происходить не в онлайне, кроме локальных встреч команд?",354175470,1593758850,6855
15,"Пока можем только утверждать, что точно не будет массовых сборов.",-49558,1593808436,6855
16,Наше кредо :),-49558,1593816297,6855
17,"""это записывают на видео и выкладывают в сеть. Ролик становится вирусным... Дальше перед видео появляется реклама"" В этом случае скорее всего площадка для размещения видео находится вне юрисдикции российского авторского права, законы там постарше, но в целом автор также отстоит свои права)",20608368,1592920229,6842
18,"Ну, дело за малым — надо теперь сделать сам ролик :)",1097762,1592933341,6842
19,"Статья крутая! Спасибо, Вова!",4470242,1593057529,6842
20,"Молодец, Вова.
А что думаешь по поводу того, что мы возьмём и придадим всем нашим песням статус каверов? :) Ведь все песни с юмором и особой авторской подачей текста и музыки.  А что мы знаем про каверы - это новое произведение и ничьих согласий не нужно:
«Создание произведения в жанре литературной, музыкальной или иной пародии либо в жанре карикатуры на основе другого (оригинального) правомерно обнародованного произведения и использование этих пародий либо карикатуры допускаются без согласия автора или иного обладателя исключительного права на оригинальное произведение и без выплаты ему вознаграждения» (п. 4 ст. 1274 ГК РФ).",5329899,1593106745,6842
21,"[id5329899|Нина], я лично под кавером понимаю не переделку песни, а так называемую ""перепевку"", т.е. текст и музыка остаются, меняется только исполнение:) 
Касательно пародий я частично согласен. Как по мне, сама пародия предполагает комическое или сатирическое подражание, которое есть далеко не во всех песнях. Для меня, например, ""бродит август по лету"" не пародия, а обычная песня с иным смыслом. Да и просто использование мелодии и манеры пения, используя другой текст, я пародией не считаю:) Безусловно, есть песни, которые направлены только на это и на них п. 4 ст. 1274 ГК РФ распространится, но это далеко не все.",269559802,1593419402,6842
22,"ЖУЁТ СВОЙ ГАЛСТУК МАНЬЯК-ГРУЗИН,
ПОКА ЛАМЗИТ ЛАМЗИН.
ГРЯДЁТ ВОССТАНИЕ МАШИН,
НАС ВСЕХ СПАСЁТ ЛАМЗИН 
(надеюсь не только от восстания)",354175470,1592575105,6837
23,"Что характерно, эпизод жевания галстука совпал по датам с сезоном '08. Возможно, дело действительно было в том, что Сергей сидел в информационно блокаде под Атаманово, и не видел бэт-сигналов.",11977314,1592576368,6837
24,"КЛЕТКИ ДЕЛЯТСЯ, ТАК ХОТЕЛ ЛАМЗИН!",83301008,1592578685,6837
25,"[id354175470|Никита], да ты не переживай. В следующем сезоне он будет таскать парты, а не вы",354146642,1592580290,6837
26,Значит всё-таки получилось у Ламзина откосить от зондерства? Ловите в таком случае лучи поддержки ☀️,354175470,1591517129,6807
27,,192153566,1591517292,6807
28,"Летняя оздоровительная кампания стартует 1 июля, а КЛШ не будет...",179519952,1591518994,6807
29,"Думали, КЛШ не сдастся так быстро...",504551638,1591519333,6807
30,"А как насчёт лишенных удачи десятиклассников, которые переходят в 11? У нас остаются шансы на зондерство?😶🙈",215840681,1591528670,6807
31,кек,7094449,1591530705,6807
32,"[id7094449|Никита], its definitely кек",354175470,1591532094,6807
33,"[id215840681|Аня], кстати да?",192153566,1591535196,6807
34,"[id192153566|Катя], [id215840681|Аня], мы пока что не знаем ответа на этот вопрос. Но узнаем.",-49558,1591550018,6807
35,"Формально — действительно стартует. Но случится ли это на практике — сложно сказать. Список требований к лагерям очень серьёзный (и с КЛШ практически несовместимый). Кроме того, проводить Школу этим летом, скорее всего, просто небезопасно.",-49558,1591550606,6807
36,"Мы не сдаёмся, мы адаптируемся :)",-49558,1591550818,6807
37,"Мы надеемся, что он всё же согласится таскать парты по зуму :)",-49558,1591551592,6807
38,Будем ждать официального решения,179519952,1591580656,6807
39,"Как приятно было услышать голос Ильи Грузберга. Благодарю за запись! Как будто снова оказалась школьницей в своём первом сезоне 1989 года😊
Народ! Держитесь! Успехов вам в адаптации в этом году! С таким богатым наследием КЛШ у вас всё получится!🙌✨👍",205506841,1591582869,6807
40,Беда бедой:(,167201526,1591598183,6807
41,"Расплакалась, только прочитав ""бродит август по лету"" и мгновенно увидела перед глазами свои оба сезона. Очень надеюсь, что школьникам 45-го сезона всё-таки удастся однажды попасть на их сезон❤️",29735702,1591685712,6807
42,"Здравствуйте, а можно уточнить отчество некоторого тов. Сергея Семенова, и оно случаем не Евгеньевич?",169129857,1591982074,6807
43,Сергей Викторович.,2485575,1591982231,6807
44,"Кстати сказать, Сергей Викторович Семёнов сейчас готовит рассказ про время своего директорства.",-49558,1591988423,6807
45,"[id354175470|Никита], кек вышел из-под контроля",354146642,1592068280,6807
46,Уважаемый,264600444,1591363681,6800
47,"Да, именно с этой новостью мы немного задержались :) :(",37481125,1591364743,6800
48,"[id37481125|Lev], :)) знаешь, информационная повестка постоянно меняется",7094449,1591365536,6800
49,"ничего не понял, но очень интересно! поздравляю от всего сердца!",54300321,1591386312,6800
50,"[id2485575|Anton Sheykin] , спасибо! Куб физических теорий увидел почти впервые. Никогда не думал, что в целом возможна нерелятивистская, но квантовая гравитация.",7094449,1591692105,6798
51,"Возможна-то возможна, да увидеть никак нельзя — тебе даже между нейтральными атомами ван дер Ваальс на малых масштабах не даст гравитацию измерить, а уж тем более отклонения от ньютоновской. Разве что на ультрахолодных нейтронах пробовать, но их еще поди получи, а потом удержи. Или ченить такое: https://inspirehep.net/literature/1779367",2485575,1591692214,6798
52,Байбурин и Макартни в одной песне = любимое произведение из летнешкольного репертуара,196718115,1589980996,6783
53,Усы топ!,4470242,1589990151,6783
54,"Интересно, есть ли тут связь с тем, что произошло с усами М. Г.",-49558,1590002496,6783
55,"[club49558|КЛШ], нет)",41626696,1590043972,6783
56,❤❤❤,17656236,1590058808,6783
57,"Антон, очень хорошие слова перед статьей! Бегу читать саму статью",176438353,1589688189,6779
58,"Антон + родные места — как хорошо! Спасибо за статью. (И да, Сосновый бор - отличное направление).",3247896,1589743971,6779
59,"Кажется, из всех смотрящих в будущее только Михаил Георгиевич что-то подозревал...",354175470,1589515618,6767
60,,18238544,1589518701,6767
61,Даёшь летнюю школу в декабре :),4251,1589521168,6767
62,#клшживи,354146642,1589523863,6767
63,"Бродит вирус по лету, 
Ждём его чуть дыша, 
Чтоб назло всем запретам, 
Вновь попасть в КЛШ!:)",11146323,1589535255,6767
64,"Но и при конце света,
 не исчезнет
НЕ ИСЧЕЗНЕТ КЛШ!",11751940,1589560305,6767
65,"[id18238544|Анастасия], как всегда мудрая Наталья Григорьевна Макуха находится в здесь и сейчас😉",205506841,1589770965,6767
66,"[id11751940|Алёна], а что ТЫ готова для этого сделать?",308071,1590089538,6767
67,,11751940,1590147470,6767
68,"В том-то и пичалька, что для Германии...",308071,1590149445,6767
69,Возможно,354175470,1588771485,6754
70,"класс!
а если Никита думает, что бы ему сыграть - ""нуу, что-нибудь лирическое"" ❤",167151147,1588772051,6754
71,"то, чего так не хватало взаперти! спасибо. ещё б аудио-версию, чтоб сохранить в плейлист =)",530321139,1588772634,6754
72,Спасибо за поддержание духа на карантине!Пойте ещё!,135302612,1588777533,6754
73,"Ваня, ты прекрасно поёшь!",2537639,1588786380,6754
74,"[id167151147|Polina], Никите для начала надо прикупить гитару, вопрос, что бы сыграть, пока не стоит",7094449,1589034046,6754
75,"[id7094449|Никита], могу сыграть, а ты спой :D",167151147,1589036541,6754
76,"[id167151147|Polina], я купил гитару!",7094449,1592985307,6754
77,"[id7094449|Никита], тогда я жду ❤️",167151147,1592985340,6754
78,"Уж не хотите ли вы, граждане, сказать, что все это ваше образование выродилось до картошки и нафиг больше никому не нужно? Осторожнее с мемами, их можно очень по-разному интерпретировать.",4251,1588255725,6742
79,"Это чистая правда. Мне вот кажется, что этот мем про то, как тяжко в сложившейся ситуации справляться с технической стороной образования. Сама не всегда понимаю, как не включить случайно маску картошки, хотя я не преподаю, а учусь :)",2537639,1588259310,6742
80,"[id2537639|Dasha], я видимо из другого поколения и далеко не всегда мемы воспринимаю так, как авторы/target group их ожидало понимать. Данный мем (с моей колокольни) выглядит просто по-идиотски, и картошка к первым шагам в расширении круга аудитории образования не имеет никакого отношения.",4251,1588259823,6742
81,"Мне жаль, я даже не подумала об этом, но вижу, как мем можно так понять. 
Вообще с мемами такая история, что они часто выглядят по-идиотски, это же реально сводится к семиотике; к тому, кто из нас как этот язык символов интерпретирует. Есть много интересных социолингвистических работ на этот счёт...

кстати могу предложить другим участникам группы поразмышлять, какие именно механизмы отвечают за столь различную интерпретацию одной и той же картинки :)",2537639,1588260045,6742
82,"[id2537639|Dasha], да пожалуйста, размышлять всегда хорошо.",4251,1588260123,6742
83,"Паша, мы ценим образование и, очевидно, сами занимаемся им. Как в самой Летней школе, так и в этом паблике, что можно заметить, если, например, полистать выходящие здесь статьи. Современные технологии, которые позволяют не прерывать образовательный процесс и в сегодняшних непростых условиях, мы, разумеется, тоже ценим. При этом нам не кажется, что ирония на тему специфических особенностей дистанционного формата обучения не является уместной. Конечно, про многие вещи сегодня совершенно точно не следует шутить, но маски в зуме, как нам кажется, к таким не относятся. Всё-таки юмор — это то, чего многим из нас сейчас особенно не хватает. Даже если это и не кажется очевидным.",-49558,1588269376,6742
84,"[club49558|КЛШ], из моего комментария должно быть очевидно, что я качество этой конкретной шутки ставлю под сомнение вне зависимости от того, что и как мне будут говорить о том, что ""ваше мнение очень важно для нас"" и ""мы профессиональные профессионалы, потому что делаем свою работу профессионально"".",4251,1588270482,6742
85,"Очень жизненный мем, посмеялся в голос!",62833273,1588276464,6742
86,Это мы поняли :),-49558,1588279776,6742
87,"Я бы вообще не распознал картошку. Или здесь, как обычно, ссылка на нечто в широких кругах общеизвестное?",174764459,1588930351,6742
88,"Финал, разумеется, грандиозный.",1097762,1587916526,6737
89,"Да что толку, до него толком все равно никто не дочитывает.",2485575,1587920013,6737
90,"Привет, Антон! Как твои дела? )",1097762,1587923780,6737
91,"[id2485575|Антон], стабильно читаю до конца с задержкой во времени и стабильно восторгаюсь мастерству автора!",37481125,1589509709,6737
92,"провести бы трансляцию с песнями🤔
вроде такое где то видел, значит можно)",459150864,1587651441,6729
93,Очень душевно😊,2660227,1587656430,6729
94,🤗,52793528,1587667080,6729
