,Comment,User,Date,Post,results
0,"здравствуйте. ранее вы говорили, что нынешние участники могут поехать в школу в следующем году без отбора. скажите, если сейчас принять участие в кэш, это возможность теряется?",179519952,1594703895,6866,negative
1,"аня, конечно нет! каждый, кто получил приглашение на участие в сезоне 2020, сможет попасть в сезон 2021 вне конкурса.",-49558,1594704317,6866,positive
2,"[club49558|клш], отлично!",179519952,1594705760,6866,positive
3,"[club49558|клш], а к резерву это не относится?",196480502,1594706308,6866,neautral
4,"к резерву не относится, поступать нужно будет на общих основаниях",-49558,1594707334,6866,neautral
5,спасибо,196480502,1594707390,6866,positive
6,большой лайк автору картинки,354175470,1594707551,6866,neautral
7,"[id354175470|никита], спасибо:3",245072606,1594712052,6866,positive
8,"здравствуйте! а тем кто только мечтал, но не поступал в клш можно присоедениться в качестве слушателя? онлайн формат располагает к такому широкому жесту :)",28433850,1594730623,6866,neautral
9,"[id28433850|анна], часть содержания совершенно точно будет доступна абсолютно всем. мы расскажем об этом в следующем посте (через несколько дней).",-49558,1594757436,6866,negative
10,"здравствуйте.подскажите, пожалуйста, сколько будет стоить   летняя кэш",461356172,1594789871,6866,negative
11,участие в кэш полностью бесплатно!,-49558,1594801634,6866,neautral
12,"[club49558|клш], спасибо!!!!",461356172,1594802046,6866,positive
13,"кажется здесь используется слишком расходный материал, стоит задуматься об альтернативе.",135302612,1593755825,6855,positive
14,"а что будет происходить не в онлайне, кроме локальных встреч команд?",354175470,1593758850,6855,neautral
15,"пока можем только утверждать, что точно не будет массовых сборов.",-49558,1593808436,6855,neautral
16,наше кредо :),-49558,1593816297,6855,neautral
17,"""это записывают на видео и выкладывают в сеть. ролик становится вирусным... дальше перед видео появляется реклама"" в этом случае скорее всего площадка для размещения видео находится вне юрисдикции российского авторского права, законы там постарше, но в целом автор также отстоит свои права)",20608368,1592920229,6842,neautral
18,"ну, дело за малым — надо теперь сделать сам ролик :)",1097762,1592933341,6842,neautral
19,"статья крутая! спасибо, вова!",4470242,1593057529,6842,positive
20,"молодец, вова.
а что думаешь по поводу того, что мы возьмём и придадим всем нашим песням статус каверов? :) ведь все песни с юмором и особой авторской подачей текста и музыки.  а что мы знаем про каверы - это новое произведение и ничьих согласий не нужно:
«создание произведения в жанре литературной, музыкальной или иной пародии либо в жанре карикатуры на основе другого (оригинального) правомерно обнародованного произведения и использование этих пародий либо карикатуры допускаются без согласия автора или иного обладателя исключительного права на оригинальное произведение и без выплаты ему вознаграждения» (п. 4 ст. 1274 гк рф).",5329899,1593106745,6842,negative
21,"[id5329899|нина], я лично под кавером понимаю не переделку песни, а так называемую ""перепевку"", т.е. текст и музыка остаются, меняется только исполнение:) 
касательно пародий я частично согласен. как по мне, сама пародия предполагает комическое или сатирическое подражание, которое есть далеко не во всех песнях. для меня, например, ""бродит август по лету"" не пародия, а обычная песня с иным смыслом. да и просто использование мелодии и манеры пения, используя другой текст, я пародией не считаю:) безусловно, есть песни, которые направлены только на это и на них п. 4 ст. 1274 гк рф распространится, но это далеко не все.",269559802,1593419402,6842,neautral
22,"жуёт свой галстук маньяк-грузин,
пока ламзит ламзин.
грядёт восстание машин,
нас всех спасёт ламзин 
(надеюсь не только от восстания)",354175470,1592575105,6837,positive
23,"что характерно, эпизод жевания галстука совпал по датам с сезоном '08. возможно, дело действительно было в том, что сергей сидел в информационно блокаде под атаманово, и не видел бэт-сигналов.",11977314,1592576368,6837,neautral
24,"клетки делятся, так хотел ламзин!",83301008,1592578685,6837,neautral
25,"[id354175470|никита], да ты не переживай. в следующем сезоне он будет таскать парты, а не вы",354146642,1592580290,6837,negative
26,значит всё-таки получилось у ламзина откосить от зондерства? ловите в таком случае лучи поддержки ☀️,354175470,1591517129,6807,neautral
27,"летняя оздоровительная кампания стартует 1 июля, а клш не будет...",179519952,1591518994,6807,negative
28,"думали, клш не сдастся так быстро...",504551638,1591519333,6807,neautral
29,"а как насчёт лишенных удачи десятиклассников, которые переходят в 11? у нас остаются шансы на зондерство?😶🙈",215840681,1591528670,6807,positive
30,кек,7094449,1591530705,6807,neautral
31,"[id7094449|никита], its definitely кек",354175470,1591532094,6807,neautral
32,"[id215840681|аня], кстати да?",192153566,1591535196,6807,neautral
33,"[id192153566|катя], [id215840681|аня], мы пока что не знаем ответа на этот вопрос. но узнаем.",-49558,1591550018,6807,negative
34,"формально — действительно стартует. но случится ли это на практике — сложно сказать. список требований к лагерям очень серьёзный (и с клш практически несовместимый). кроме того, проводить школу этим летом, скорее всего, просто небезопасно.",-49558,1591550606,6807,neautral
35,"мы не сдаёмся, мы адаптируемся :)",-49558,1591550818,6807,negative
36,"мы надеемся, что он всё же согласится таскать парты по зуму :)",-49558,1591551592,6807,negative
37,будем ждать официального решения,179519952,1591580656,6807,positive
38,"как приятно было услышать голос ильи грузберга. благодарю за запись! как будто снова оказалась школьницей в своём первом сезоне 1989 года😊
народ! держитесь! успехов вам в адаптации в этом году! с таким богатым наследием клш у вас всё получится!🙌✨👍",205506841,1591582869,6807,neautral
39,беда бедой:(,167201526,1591598183,6807,neautral
40,"расплакалась, только прочитав ""бродит август по лету"" и мгновенно увидела перед глазами свои оба сезона. очень надеюсь, что школьникам 45-го сезона всё-таки удастся однажды попасть на их сезон❤️",29735702,1591685712,6807,neautral
41,"здравствуйте, а можно уточнить отчество некоторого тов. сергея семенова, и оно случаем не евгеньевич?",169129857,1591982074,6807,neautral
42,сергей викторович.,2485575,1591982231,6807,neautral
43,"кстати сказать, сергей викторович семёнов сейчас готовит рассказ про время своего директорства.",-49558,1591988423,6807,neautral
44,"[id354175470|никита], кек вышел из-под контроля",354146642,1592068280,6807,neautral
45,уважаемый,264600444,1591363681,6800,neautral
46,"да, именно с этой новостью мы немного задержались :) :(",37481125,1591364743,6800,neautral
47,"[id37481125|lev], :)) знаешь, информационная повестка постоянно меняется",7094449,1591365536,6800,neautral
48,"ничего не понял, но очень интересно! поздравляю от всего сердца!",54300321,1591386312,6800,neautral
49,"[id2485575|anton sheykin] , спасибо! куб физических теорий увидел почти впервые. никогда не думал, что в целом возможна нерелятивистская, но квантовая гравитация.",7094449,1591692105,6798,neautral
50,"возможна-то возможна, да увидеть никак нельзя — тебе даже между нейтральными атомами ван дер ваальс на малых масштабах не даст гравитацию измерить, а уж тем более отклонения от ньютоновской. разве что на ультрахолодных нейтронах пробовать, но их еще поди получи, а потом удержи. или ченить такое: https://inspirehep.net/literature/1779367",2485575,1591692214,6798,negative
51,байбурин и макартни в одной песне = любимое произведение из летнешкольного репертуара,196718115,1589980996,6783,neautral
52,усы топ!,4470242,1589990151,6783,positive
